"Kernel Name","gemm_bi_nn_fixed_rna_wide_tf32_v1_m128n128_bk32_s3",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x7ea99f2e07a0","      CS2R R34, SRZ","768","24576"
"0x7ea99f2e07b0","      CS2R R92, SRZ","768","24576"
"0x7ea99f2e07c0","      CS2R R94, SRZ","768","24576"
"0x7ea99f2e07d0","      CS2R R96, SRZ","768","24576"
"0x7ea99f2e07e0","      CS2R R98, SRZ","768","24576"
"0x7ea99f2e07f0","      CS2R R20, SRZ","768","24576"
"0x7ea99f2e0800","      CS2R R22, SRZ","768","24576"
"0x7ea99f2e0810","      CS2R R74, SRZ","768","24576"
"0x7ea99f2e0820","      CS2R R76, SRZ","768","24576"
"0x7ea99f2e0830","      CS2R R78, SRZ","768","24576"
"0x7ea99f2e0840","      CS2R R80, SRZ","768","24576"
"0x7ea99f2e0850","      CS2R R82, SRZ","768","24576"
"0x7ea99f2e0860","      CS2R R84, SRZ","768","24576"
"0x7ea99f2e0870","      CS2R R86, SRZ","768","24576"
"0x7ea99f2e0880","      IMAD.WIDE R2, R140, R9, c[0x0][0x178]","768","24576"
"0x7ea99f2e0890","@!P0  BRA 0x7ea99f2e0bc0","768","24576"
"0x7ea99f2e08a0","      ISETP.GE.AND P2, PT, R114, c[0x0][0x188], PT","0","0"
"0x7ea99f2e08b0","      CS2R R68, SRZ","0","0"
"0x7ea99f2e08c0","      IADD3 R10, R140, 0x1, RZ","0","0"
"0x7ea99f2e08d0","      ISETP.GE.OR P5, PT, R140, c[0x0][0x190], P2","0","0"
"0x7ea99f2e08e0","      ISETP.GE.OR P6, PT, R10, c[0x0][0x190], P2","0","0"
"0x7ea99f2e08f0","      IADD3 R8, R114, 0x8, RZ","0","0"
"0x7ea99f2e0900","      IADD3 R12, R140, 0x8, RZ","0","0"
"0x7ea99f2e0910","      ISETP.GE.AND P1, PT, R8, c[0x0][0x188], PT","0","0"
"0x7ea99f2e0920","      IADD3 R13, R140, 0x9, RZ","0","0"
"0x7ea99f2e0930","      IADD3 R14, R140, 0x10, RZ","0","0"
"0x7ea99f2e0940","@!P5  LDG.E R68, [R2.64]","0","0"
"0x7ea99f2e0950","      ISETP.GE.OR P3, PT, R140, c[0x0][0x190], P1","0","0"
"0x7ea99f2e0960","      ISETP.GE.OR P4, PT, R12, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0970","@!P6  LDG.E R69, [R2.64+0x4]","0","0"
"0x7ea99f2e0980","      ISETP.GE.OR P5, PT, R13, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0990","      ISETP.GE.OR P6, PT, R14, c[0x0][0x190], P2","0","0"
"0x7ea99f2e09a0","      CS2R R70, SRZ","0","0"
"0x7ea99f2e09b0","      CS2R R64, SRZ","0","0"
"0x7ea99f2e09c0","      CS2R R60, SRZ","0","0"
"0x7ea99f2e09d0","      IADD3 R16, R140, 0x11, RZ","0","0"
"0x7ea99f2e09e0","      IADD3 R8, R140, 0x18, RZ","0","0"
"0x7ea99f2e09f0","@!P3  LDG.E R70, [R2.64]","0","0"
"0x7ea99f2e0a00","      IADD3 R9, R140, 0x19, RZ","0","0"
"0x7ea99f2e0a10","      ISETP.GE.OR P3, PT, R16, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0a20","@!P4  LDG.E R64, [R2.64+0x20]","0","0"
"0x7ea99f2e0a30","      ISETP.GE.OR P4, PT, R8, c[0x0][0x190], P2","0","0"
