"Kernel Name","void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_nn_align4>(T1::Params)",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x782ae63004f0","      LEA.HI R18, R9, R0, RZ, 0x5","384","12288"
"0x782ae6300500","      CS2R R88, SRZ","384","12288"
"0x782ae6300510","      SEL R5, R5, 0x10, P0","384","12288"
"0x782ae6300520","      CS2R R46, SRZ","384","12288"
"0x782ae6300530","      LOP3.LUT R19, R18, 0xffffffe0, RZ, 0xc0, !PT","384","12288"
"0x782ae6300540","      CS2R R44, SRZ","384","12288"
"0x782ae6300550","      SHF.R.S32.HI R18, RZ, 0x5, R18","384","12288"
"0x782ae6300560","      IMAD.IADD R9, R5, 0x1, R31","384","12288"
"0x782ae6300570","      LOP3.LUT R183, R0, 0x1f, RZ, 0xc0, !PT","384","12288"
"0x782ae6300580","      IMAD.IADD R8, R0, 0x1, -R19","384","12288"
"0x782ae6300590","      LOP3.LUT R214, R214, 0x180, RZ, 0xc0, !PT","384","12288"
"0x782ae63005a0","      IMAD.SHL.U32 R18, R18, 0x4, RZ","384","12288"
"0x782ae63005b0","      IMNMX R9, R9, R4, PT","384","12288"
"0x782ae63005c0","      CS2R R114, SRZ","384","12288"
"0x782ae63005d0","      SHF.R.S32.HI R11, RZ, 0x1f, R8","384","12288"
"0x782ae63005e0","      CS2R R112, SRZ","384","12288"
"0x782ae63005f0","      IADD3 R4, R4, 0xf, -R31","384","12288"
"0x782ae6300600","      CS2R R86, SRZ","384","12288"
"0x782ae6300610","      LEA.HI R13, R11, R8, RZ, 0x2","384","12288"
"0x782ae6300620","      CS2R R84, SRZ","384","12288"
"0x782ae6300630","      LEA.HI R11, R11, R8, RZ, 0x3","384","12288"
"0x782ae6300640","      CS2R R50, SRZ","384","12288"
"0x782ae6300650","      LEA.HI.SX32 R19, R13, R19, 0x1e","384","12288"
"0x782ae6300660","      CS2R R48, SRZ","384","12288"
"0x782ae6300670","      LOP3.LUT R13, R13, 0xfffffffc, RZ, 0xc0, !PT","384","12288"
"0x782ae6300680","      CS2R R118, SRZ","384","12288"
"0x782ae6300690","      LEA.HI R22, R19, R19, RZ, 0x1","384","12288"
"0x782ae63006a0","      IMAD R14, R14, 0x80, R19","384","12288"
"0x782ae63006b0","      LOP3.LUT R15, R11, 0x3ffffff8, RZ, 0xc0, !PT","384","12288"
"0x782ae63006c0","      IMAD.IADD R20, R8, 0x1, -R13","384","12288"
"0x782ae63006d0","      LOP3.LUT R24, R22, 0x3ffffffe, RZ, 0xc0, !PT","384","12288"
"0x782ae63006e0","      CS2R R116, SRZ","384","12288"
"0x782ae63006f0","      SHF.R.S32.HI R25, RZ, 0x1, R22","384","12288"
"0x782ae6300700","      IMAD.IADD R15, R8, 0x1, -R15","384","12288"
"0x782ae6300710","      SHF.R.S32.HI R22, RZ, 0x1f, R22","384","12288"
"0x782ae6300720","      IMAD.IADD R17, R19, 0x1, -R24","384","12288"
"0x782ae6300730","      IADD3 R13, R14, 0x8, RZ","384","12288"
