"Kernel Name","void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_nn_align4>(T1::Params)",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x782ae6301430","      LDGSTS.E.BYPASS.LTC128B.128 P1, [R199+0xc080], [R10.64+0x80]","384","12288"
"0x782ae6301440","      CS2R R16, SRZ","384","12288"
"0x782ae6301450","      LDGSTS.E.BYPASS.LTC128B.128 P2, [R199+0xc100], [R10.64+0x100]","384","12288"
"0x782ae6301460","      CS2R R18, SRZ","384","12288"
"0x782ae6301470","      LDGSTS.E.BYPASS.LTC128B.128 P3, [R199+0xc180], [R10.64+0x180]","384","12288"
"0x782ae6301480","      R2P PR, R211, 0xf","384","12288"
"0x782ae6301490","      R2UR UR5, R5","384","12288"
"0x782ae63014a0","      IADD3 R14, P4, R20, c[0x0][0x1a0], RZ","384","12288"
"0x782ae63014b0","      LDGDEPBAR","384","12288"
"0x782ae63014c0","      ISETP.NE.AND P5, PT, R2, 0x20, PT","384","12288"
"0x782ae63014d0","      IADD3.X R15, R21, c[0x0][0x1a4], RZ, P4, !PT","384","12288"
"0x782ae63014e0","      IADD3 R12, P4, R14, c[0x0][0x1a0], RZ","384","12288"
"0x782ae63014f0","      IADD3.X R13, R15, c[0x0][0x1a4], RZ, P4, !PT","384","12288"
"0x782ae6301500","      LDGSTS.E.BYPASS.LTC128B.128 P0, [R201+0x100], [R20.64]","384","12288"
"0x782ae6301510","      IADD3 R6, P4, R12, c[0x0][0x1a0], RZ","384","12288"
"0x782ae6301520","@!P5  IMAD.MOV.U32 R198, RZ, RZ, RZ","384","0"
"0x782ae6301530","      IADD3.X R7, R13, c[0x0][0x1a4], RZ, P4, !PT","384","12288"
"0x782ae6301540","      LDGSTS.E.BYPASS.LTC128B.128 P1, [R200+0x100], [R14.64]","384","12288"
"0x782ae6301550","      LDGSTS.E.BYPASS.LTC128B.128 P2, [R201+0x1500], [R12.64]","384","12288"
"0x782ae6301560","      LOP3.LUT R5, R0, 0xe, RZ, 0xc0, !PT","384","12288"
"0x782ae6301570","      USHF.R.S32.HI UR16, URZ, 0x1f, UR5","384","12288"
"0x782ae6301580","      LDGSTS.E.BYPASS.LTC128B.128 P3, [R200+0x1500], [R6.64]","384","12288"
"0x782ae6301590","      R2P PR, R198, 0xf","384","12288"
"0x782ae63015a0","      ULEA.HI UR16, UR16, UR5, URZ, 0x2","384","12288"
"0x782ae63015b0","      IADD3 R8, P4, R10, c[0x0][0x1c8], RZ","384","12288"
"0x782ae63015c0","      ISETP.NE.AND P5, PT, R2, 0x30, PT","384","12288"
"0x782ae63015d0","      ULOP3.LUT UR4, UR16, 0xfffffffc, URZ, 0xc0, !UPT","384","12288"
"0x782ae63015e0","      IADD3.X R9, R11, c[0x0][0x1cc], RZ, P4, !PT","384","12288"
"0x782ae63015f0","      USHF.R.S32.HI UR16, URZ, 0x2, UR16","384","12288"
"0x782ae6301600","      ISETP.NE.AND P4, PT, R2, 0x30, PT","384","12288"
"0x782ae6301610","      UIADD3 UR4, UR5, -UR4, URZ","384","12288"
"0x782ae6301620","      LOP3.LUT R2, R0, 0x6, RZ, 0xc0, !PT","384","12288"
"0x782ae6301630","      SEL R211, R211, RZ, P4","384","12288"
"0x782ae6301640","      LDGSTS.E.BYPASS.LTC128B.128 P0, [R199+0xe000], [R8.64]","384","12288"
"0x782ae6301650","      SHF.R.U32.HI R2, RZ, 0x1, R2","384","12288"
"0x782ae6301660","      ULEA.HI UR15, UR4, UR4, URZ, 0x1","384","12288"
"0x782ae6301670","      SHF.R.U32.HI R5, RZ, 0x1, R5","384","12288"
"0x782ae6301680","      LDGSTS.E.BYPASS.LTC128B.128 P1, [R199+0xe080], [R8.64+0x80]","384","12288"
"0x782ae6301690","@!P5  IMAD.MOV.U32 R198, RZ, RZ, RZ","384","0"
"0x782ae63016a0","      LOP3.LUT R3, R3, R2, RZ, 0x3c, !PT","384","12288"
"0x782ae63016b0","      IMAD.SHL.U32 R2, R0, 0x4, RZ","384","12288"
"0x782ae63016c0","      LDGSTS.E.BYPASS.LTC128B.128 P2, [R199+0xe100], [R8.64+0x100]","384","12288"
"0x782ae63016d0","      IADD3 R12, P0, R6, c[0x0][0x1a8], RZ","384","12288"
"0x782ae63016e0","      ULOP3.LUT UR14, UR15, 0xfffffffe, URZ, 0xc0, !UPT","384","12288"
"0x782ae63016f0","      CS2R R20, SRZ","384","12288"
"0x782ae6301700","      LDGSTS.E.BYPASS.LTC128B.128 P3, [R199+0xe180], [R8.64+0x180]","384","12288"
"0x782ae6301710","      IADD3.X R13, R7, c[0x0][0x1ac], RZ, P0, !PT","384","12288"
"0x782ae6301720","      UIADD3 UR14, UR4, -UR14, URZ","384","12288"
"0x782ae6301730","      R2P PR, R211, 0xf","384","12288"
"0x782ae6301740","      LDGDEPBAR","384","12288"
"0x782ae6301750","      IADD3 R10, P4, R12, c[0x0][0x1a0], RZ","384","12288"
"0x782ae6301760","      UIMAD UR13, UR14, 0xa0, UR16","384","12288"
"0x782ae6301770","      LOP3.LUT R2, R3, 0x4, R2, 0xf8, !PT","384","12288"
"0x782ae6301780","      USHF.R.S32.HI UR15, URZ, 0x1, UR15","384","12288"
"0x782ae6301790","      IADD3.X R11, R13, c[0x0][0x1a4], RZ, P4, !PT","384","12288"
"0x782ae63017a0","      USHF.L.U32 UR13, UR13, 0x3, URZ","384","12288"
"0x782ae63017b0","      IADD3 R14, P4, R10, c[0x0][0x1a0], RZ","384","12288"
"0x782ae63017c0","      IMAD R5, R5, 0x28, R2","384","12288"
"0x782ae63017d0","      SHF.R.S32.HI R3, RZ, 0x1f, R4","384","12288"
"0x782ae63017e0","      IMAD.SHL.U32 R2, R0, 0x8, RZ","384","12288"
"0x782ae63017f0","      IADD3.X R15, R11, c[0x0][0x1a4], RZ, P4, !PT","384","12288"
"0x782ae6301800","      LDGSTS.E.BYPASS.LTC128B.128 P0, [R201+0x180], [R12.64]","384","12288"
"0x782ae6301810","      IADD3 R6, P4, R14, c[0x0][0x1a0], RZ","384","12288"
"0x782ae6301820","      IMAD.SHL.U32 R197, R5, 0x10, RZ","384","12288"
"0x782ae6301830","      LEA.HI R202, R3, R4, RZ, 0x4","384","12288"
"0x782ae6301840","      LDGSTS.E.BYPASS.LTC128B.128 P1, [R200+0x180], [R10.64]","384","12288"
"0x782ae6301850","      IADD3.X R7, R15, c[0x0][0x1a4], RZ, P4, !PT","384","12288"
"0x782ae6301860","      LEA.HI.SX32 R202, R202, 0xfffffffc, 0x1c","384","12288"
"0x782ae6301870","      LDGSTS.E.BYPASS.LTC128B.128 P2, [R201+0x1580], [R14.64]","384","12288"
"0x782ae6301880","      LOP3.LUT R2, R2, 0x18, RZ, 0xe2, !PT","384","12288"
"0x782ae6301890","      IADD3 R5, R5, UR13, RZ","384","12288"
"0x782ae63018a0","      LDGSTS.E.BYPASS.LTC128B.128 P3, [R200+0x1580], [R6.64]","384","12288"
"0x782ae63018b0","      R2P PR, R198, 0xf","384","12288"
"0x782ae63018c0","      USHF.L.U32 UR13, UR13, 0x4, URZ","384","12288"
"0x782ae63018d0","      IADD3 R8, P4, R8, c[0x0][0x1c8], RZ","384","12288"
"0x782ae63018e0","      IMAD.SHL.U32 R5, R5, 0x10, RZ","384","12288"
"0x782ae63018f0","      LOP3.LUT R151, R183, 0x8, R2, 0xf6, !PT","384","12288"
"0x782ae6301900","      IADD3.X R9, R9, c[0x0][0x1cc], RZ, P4, !PT","384","12288"
"0x782ae6301910","      LOP3.LUT R3, R183, 0x18, R2, 0xf6, !PT","384","12288"
"0x782ae6301920","      IMAD.IADD R151, R214, 0x1, R151","384","12288"
"0x782ae6301930","      IADD3 R150, R214, R2, R183","384","12288"
"0x782ae6301940","      LDGSTS.E.BYPASS.LTC128B.128 P0, [R199+0x10000], [R8.64]","384","12288"
"0x782ae6301950","      IADD3 R208, P0, R8, c[0x0][0x1c8], RZ","384","12288"
"0x782ae6301960","      IMAD.IADD R3, R214, 0x1, R3","384","12288"
"0x782ae6301970","      LEA R150, R150, 0xa000, 0x2","384","12288"
"0x782ae6301980","      LDGSTS.E.BYPASS.LTC128B.128 P1, [R199+0x10080], [R8.64+0x80]","384","12288"
"0x782ae6301990","      IADD3.X R209, R9, c[0x0][0x1cc], RZ, P0, !PT","384","12288"
"0x782ae63019a0","      CS2R R12, SRZ","384","12288"
"0x782ae63019b0","      ISETP.GE.AND P0, PT, R4, 0x10, PT","384","12288"
"0x782ae63019c0","      LDGSTS.E.BYPASS.LTC128B.128 P2, [R199+0x10100], [R8.64+0x100]","384","12288"
"0x782ae63019d0","      ISETP.NE.AND P2, PT, R202, RZ, PT","384","12288"
"0x782ae63019e0","      CS2R R14, SRZ","384","12288"
"0x782ae63019f0","      LOP3.LUT R11, R183, 0x10, R2, 0xf6, !PT","384","12288"
"0x782ae6301a00","      LDGSTS.E.BYPASS.LTC128B.128 P3, [R199+0x10180], [R8.64+0x180]","384","12288"
"0x782ae6301a10","      IADD3 R206, P1, R6, c[0x0][0x1a8], RZ","384","12288"
"0x782ae6301a20","      ISETP.NE.AND P3, PT, R202, RZ, PT","384","12288"
"0x782ae6301a30","      LDGDEPBAR","384","12288"
"0x782ae6301a40","      IMAD.IADD R2, R214, 0x1, R11","384","12288"
"0x782ae6301a50","      IADD3.X R207, R7, c[0x0][0x1ac], RZ, P1, !PT","384","12288"
"0x782ae6301a60","      CS2R R10, SRZ","384","12288"
"0x782ae6301a70","      LEA R151, R151, 0xa000, 0x2","384","12288"
"0x782ae6301a80","      CS2R R6, SRZ","384","12288"
"0x782ae6301a90","      LEA R2, R2, 0xa000, 0x2","384","12288"
"0x782ae6301aa0","@!P2  IMAD.MOV.U32 R198, RZ, RZ, RZ","384","0"
"0x782ae6301ab0","      LEA R3, R3, 0xa000, 0x2","384","12288"
"0x782ae6301ac0","      SEL R211, R211, RZ, P3","384","12288"
"0x782ae6301ad0","      IMAD.MOV.U32 R9, RZ, RZ, RZ","384","12288"
"0x782ae6301ae0","      DEPBAR.LE SB0, 0x3","384","12288"
"0x782ae6301af0","      BAR.SYNC.DEFER_BLOCKING 0x0","384","12288"
"0x782ae6301b00","      IMAD.MOV.U32 R8, RZ, RZ, RZ","384","12288"
"0x782ae6301b10","      LDSM.16.M88.4 R152, [R5+0x1400]","384","12288"
"0x782ae6301b20","      LDSM.16.M88.4 R156, [R5+0x2800]","384","12288"
"0x782ae6301b30","      LDSM.16.M88.4 R160, [R5+0x3c00]","384","12288"
"0x782ae6301b40","      LDSM.16.M88.4 R132, [R197+UR13]","384","12288"
"0x782ae6301b50","      CS2R R4, SRZ","384","12288"
"0x782ae6301b60","@!P0  BRA 0x782ae63033d0","384","0"
"0x782ae6301b70","      ULEA UR4, UR16, UR15, 0x5","384","12288"
"0x782ae6301b80","      FSETP.GEU.AND P0, PT, |R163|, +INF , PT","384","12288"
"0x782ae6301b90","      IMAD.MOV.U32 R103, RZ, RZ, 0x1000","384","12288"
"0x782ae6301ba0","      FSETP.GEU.AND P1, PT, |R162|, +INF , PT","384","12288"
"0x782ae6301bb0","      USHF.L.U32 UR4, UR4, 0x6, URZ","384","12288"
"0x782ae6301bc0","      FSETP.GEU.AND P4, PT, |R161|, +INF , PT","384","12288"
"0x782ae6301bd0","      IMAD.SHL.U32 R164, R0, 0x8, RZ","384","12288"
"0x782ae6301be0","      FSETP.GEU.AND P3, PT, |R160|, +INF , PT","384","12288"
"0x782ae6301bf0","      USHF.L.U32 UR12, UR4, 0x2, URZ","384","12288"
"0x782ae6301c00","      FSETP.GEU.AND P6, PT, |R159|, +INF , PT","384","12288"
"0x782ae6301c10","      ULDC.64 UR18, c[0x0][0x1a0]","384","12288"
"0x782ae6301c20","      FSETP.GEU.AND P5, PT, |R158|, +INF , PT","384","12288"
"0x782ae6301c30","      UMOV UR4, 0x1","384","12288"
"0x782ae6301c40","      FSETP.GEU.AND P2, PT, |R157|, +INF , PT","384","12288"
"0x782ae6301c50","@!P0  IMAD.IADD.U32 R163, R163, 0x1, R103","384","12288"
"0x782ae6301c60","      FSETP.GEU.AND P0, PT, |R156|, +INF , PT","384","12288"
"0x782ae6301c70","@!P1  IMAD.IADD.U32 R162, R162, 0x1, R103","384","12288"
"0x782ae6301c80","      LDS R149, [R3+UR12+0x880]","384","12288"
"0x782ae6301c90","@!P4  IMAD.IADD.U32 R161, R161, 0x1, R103","384","12288"
"0x782ae6301ca0","      FSETP.GEU.AND P1, PT, |R155|, +INF , PT","384","12288"
"0x782ae6301cb0","@!P3  IMAD.IADD.U32 R160, R160, 0x1, R103","384","12288"
"0x782ae6301cc0","      LDS R148, [R3+UR12+0x80]","384","12288"
"0x782ae6301cd0","      FSETP.GEU.AND P4, PT, |R154|, +INF , PT","384","12288"
"0x782ae6301ce0","@!P6  IMAD.IADD.U32 R159, R159, 0x1, R103","384","12288"
"0x782ae6301cf0","      FSETP.GEU.AND P3, PT, |R153|, +INF , PT","384","12288"
"0x782ae6301d00","      LDS R147, [R2+UR12+0x880]","384","12288"
"0x782ae6301d10","@!P5  IMAD.IADD.U32 R158, R158, 0x1, R103","384","12288"
"0x782ae6301d20","      FSETP.GEU.AND P6, PT, |R152|, +INF , PT","384","12288"
"0x782ae6301d30","@!P2  IMAD.IADD.U32 R157, R157, 0x1, R103","384","12288"
"0x782ae6301d40","      LDS R146, [R2+UR12+0x80]","384","12288"
"0x782ae6301d50","@!P0  IMAD.IADD.U32 R156, R156, 0x1, R103","384","12288"
"0x782ae6301d60","      FSETP.GEU.AND P5, PT, |R135|, +INF , PT","384","12288"
"0x782ae6301d70","@!P1  IMAD.IADD.U32 R155, R155, 0x1, R103","384","12288"
"0x782ae6301d80","      LDS R144, [R151+UR12+0x80]","384","12288"
"0x782ae6301d90","      FSETP.GEU.AND P2, PT, |R134|, +INF , PT","384","12288"
"0x782ae6301da0","@!P4  IMAD.IADD.U32 R154, R154, 0x1, R103","384","12288"
"0x782ae6301db0","      FSETP.GEU.AND P0, PT, |R133|, +INF , PT","384","12288"
"0x782ae6301dc0","      LDS R141, [R3+UR12+0x800]","384","12288"
"0x782ae6301dd0","@!P3  IMAD.IADD.U32 R153, R153, 0x1, R103","384","12288"
"0x782ae6301de0","      LOP3.LUT R164, R164, 0x18, RZ, 0xc0, !PT","384","12288"
"0x782ae6301df0","@!P6  IMAD.IADD.U32 R152, R152, 0x1, R103","384","12288"
"0x782ae6301e00","      LDS R140, [R3+UR12]","384","12288"
"0x782ae6301e10","      LOP3.LUT R210, R197, 0x20, RZ, 0x3c, !PT","384","12288"
"0x782ae6301e20","      IMAD.MOV.U32 R203, RZ, RZ, 0x1000","384","12288"
"0x782ae6301e30","      LOP3.LUT R165, R183, 0x18, R164, 0xf6, !PT","384","12288"
"0x782ae6301e40","      LDS R139, [R2+UR12+0x800]","384","12288"
"0x782ae6301e50","@!P5  IMAD.IADD.U32 R135, R135, 0x1, R103","384","12288"
"0x782ae6301e60","      LOP3.LUT R215, R183, 0x10, R164, 0xf6, !PT","384","12288"
"0x782ae6301e70","@!P2  IMAD.IADD.U32 R134, R134, 0x1, R103","384","12288"
"0x782ae6301e80","      LDS R138, [R2+UR12]","384","12288"
"0x782ae6301e90","@!P0  IMAD.IADD.U32 R133, R133, 0x1, R103","384","12288"
"0x782ae6301ea0","      LOP3.LUT R213, R214, R164, R183, 0xfe, !PT","384","12288"
"0x782ae6301eb0","      USHF.L.U64.HI UR19, UR18, UR4, UR19","384","12288"
"0x782ae6301ec0","      LDS R137, [R151+UR12+0x800]","384","12288"
"0x782ae6301ed0","      LOP3.LUT R216, R214, R165, RZ, 0xfc, !PT","384","12288"
"0x782ae6301ee0","      USHF.L.U32 UR18, UR18, 0x1, URZ","384","12288"
"0x782ae6301ef0","      LOP3.LUT R215, R214, R215, RZ, 0xfc, !PT","384","12288"
"0x782ae6301f00","      LDS R136, [R151+UR12]","384","12288"
"0x782ae6301f10","      FSETP.GEU.AND P1, PT, |R149|, +INF , PT","384","12288"
"0x782ae6301f20","      UMOV UR11, 0x200","384","12288"
"0x782ae6301f30","      LEA R213, R213, 0xa000, 0x2","384","12288"
"0x782ae6301f40","      LDS R145, [R151+UR12+0x880]","384","12288"
"0x782ae6301f50","      FSETP.GEU.AND P4, PT, |R148|, +INF , PT","384","12288"
"0x782ae6301f60","      UMOV UR10, 0x8000","384","12288"
"0x782ae6301f70","      LEA R216, R216, 0xa000, 0x2","384","12288"
"0x782ae6301f80","      LDS R2, [R150+UR12]","384","12288"
"0x782ae6301f90","      FSETP.GEU.AND P3, PT, |R147|, +INF , PT","384","12288"
"0x782ae6301fa0","      UMOV UR9, 0x4","384","12288"
"0x782ae6301fb0","      LEA R215, R215, 0xa000, 0x2","384","12288"
"0x782ae6301fc0","      LDS R3, [R150+UR12+0x800]","384","12288"
"0x782ae6301fd0","      FSETP.GEU.AND P6, PT, |R146|, +INF , PT","384","12288"
"0x782ae6301fe0","@!P1  IMAD.IADD.U32 R149, R149, 0x1, R103","384","12288"
"0x782ae6301ff0","      UMOV UR8, URZ","384","12288"
"0x782ae6302000","      LDS R142, [R150+UR12+0x80]","384","12288"
"0x782ae6302010","      FSETP.GEU.AND P2, PT, |R144|, +INF , PT","384","12288"
"0x782ae6302020","@!P4  IMAD.IADD.U32 R148, R148, 0x1, R103","384","12288"
"0x782ae6302030","      ULDC.64 UR20, c[0x0][0x1a0]","384","12288"
"0x782ae6302040","      LDS R143, [R150+UR12+0x880]","384","12288"
"0x782ae6302050","      FSETP.GEU.AND P5, PT, |R141|, +INF , PT","384","12288"
"0x782ae6302060","@!P3  IMAD.IADD.U32 R147, R147, 0x1, R103","384","12288"
"0x782ae6302070","      FSETP.GEU.AND P0, PT, |R140|, +INF , PT","384","12288"
"0x782ae6302080","@!P6  IMAD.IADD.U32 R146, R146, 0x1, R103","384","12288"
"0x782ae6302090","      FSETP.GEU.AND P6, PT, |R132|, +INF , PT","384","12288"
"0x782ae63020a0","      FSETP.GEU.AND P1, PT, |R139|, +INF , PT","384","12288"
"0x782ae63020b0","@!P2  IMAD.IADD.U32 R144, R144, 0x1, R103","384","12288"
"0x782ae63020c0","      LOP3.LUT R151, R183, 0x8, R164, 0xf6, !PT","384","12288"
"0x782ae63020d0","      FSETP.GEU.AND P4, PT, |R138|, +INF , PT","384","12288"
"0x782ae63020e0","@!P5  IMAD.IADD.U32 R141, R141, 0x1, R103","384","12288"
"0x782ae63020f0","      LOP3.LUT R214, R214, R151, RZ, 0xfc, !PT","384","12288"
"0x782ae6302100","      FSETP.GEU.AND P3, PT, |R137|, +INF , PT","384","12288"
"0x782ae6302110","@!P0  IMAD.IADD.U32 R140, R140, 0x1, R103","384","12288"
"0x782ae6302120","      LEA R214, R214, 0xa000, 0x2","384","12288"
"0x782ae6302130","@!P6  IMAD.IADD.U32 R132, R132, 0x1, R103","384","12288"
"0x782ae6302140","      FSETP.GEU.AND P2, PT, |R136|, +INF , PT","384","12288"
"0x782ae6302150","@!P1  IMAD.IADD.U32 R139, R139, 0x1, R103","384","12288"
"0x782ae6302160","      FSETP.GEU.AND P5, PT, |R145|, +INF , PT","384","12288"
"0x782ae6302170","@!P4  IMAD.IADD.U32 R138, R138, 0x1, R103","384","12288"
"0x782ae6302180","      FSETP.GEU.AND P0, PT, |R2|, +INF , PT","384","12288"
"0x782ae6302190","@!P3  IMAD.IADD.U32 R137, R137, 0x1, R103","384","12288"
"0x782ae63021a0","      FSETP.GEU.AND P1, PT, |R3|, +INF , PT","384","12288"
"0x782ae63021b0","@!P2  IMAD.IADD.U32 R136, R136, 0x1, R103","384","12288"
"0x782ae63021c0","      FSETP.GEU.AND P4, PT, |R142|, +INF , PT","384","12288"
"0x782ae63021d0","@!P5  IMAD.IADD.U32 R145, R145, 0x1, R103","384","12288"
"0x782ae63021e0","      FSETP.GEU.AND P3, PT, |R143|, +INF , PT","384","12288"
"0x782ae63021f0","@!P0  IMAD.IADD.U32 R2, R2, 0x1, R103","384","12288"
"0x782ae6302200","@!P1  IMAD.IADD.U32 R3, R3, 0x1, R103","384","12288"
"0x782ae6302210","@!P4  IMAD.IADD.U32 R142, R142, 0x1, R103","384","12288"
"0x782ae6302220","@!P3  IMAD.IADD.U32 R143, R143, 0x1, R103","384","12288"
"0x782ae6302230","      IMAD.MOV.U32 R103, RZ, RZ, RZ","384","12288"
"0x782ae6302240","      HMMA.1688.F32.TF32 R4, R132, R2, R4","55296","1769472"
"0x782ae6302250","      LDS R150, [R213+UR12+0x1000]","55296","1769472"
"0x782ae6302260","      UIADD3 UR4, UR12, 0x2000, URZ","55296","1769472"
"0x782ae6302270","      UIADD3 UR5, UR13, 0x80, URZ","55296","1769472"
"0x782ae6302280","      LDS R151, [R213+UR12+0x1800]","55296","1769472"
"0x782ae6302290","      R2P PR, R211, 0x3","55296","1769472"
"0x782ae63022a0","      UIADD3 UR8, UR8, 0x1, URZ","55296","1769472"
"0x782ae63022b0","      HMMA.1688.F32.TF32 R8, R132, R136, R8","55296","1769472"
"0x782ae63022c0","      LDSM.16.M88.4 R164, [R210+UR13]","55296","1769472"
"0x782ae63022d0","      UIADD3 UR9, UR9, 0x1, URZ","55296","1769472"
"0x782ae63022e0","      R2P PR, R211, 0xc","55296","1769472"
"0x782ae63022f0","      UISETP.NE.AND UP0, UPT, UR8, 0x5, UPT","55296","1769472"
"0x782ae6302300","      IADD3 R217, R200, UR11, RZ","55296","1769472"
"0x782ae6302310","      UISETP.NE.AND UP1, UPT, UR9, 0x5, UPT","55296","1769472"
"0x782ae6302320","      IADD3 R218, P4, R206, R204, RZ","55296","1769472"
"0x782ae6302330","      HMMA.1688.F32.TF32 R12, R132, R138, R12","55296","1769472"
"0x782ae6302340","      LDS R168, [R214+UR12+0x1000]","55296","1769472"
"0x782ae6302350","      UIADD3 UR7, UR10, 0x2000, URZ","55296","1769472"
"0x782ae6302360","      IADD3 R221, R201, UR11, RZ","55296","1769472"
"0x782ae6302370","      LDS R169, [R214+UR12+0x1800]","55296","1769472"
"0x782ae6302380","      IMAD.X R219, R207, 0x1, R196, P4","55296","1769472"
"0x782ae6302390","@!UP0 UIADD3 UR4, UR12, -0x8000, URZ","55296","344064"
"0x782ae63023a0","      HMMA.1688.F32.TF32 R16, R132, R140, R16","55296","1769472"
"0x782ae63023b0","      LDS R170, [R215+UR12+0x1000]","55296","1769472"
"0x782ae63023c0","@!UP0 UIADD3 UR5, UR13, -0x200, URZ","55296","344064"
"0x782ae63023d0","      UIADD3 UR6, UR11, 0x80, URZ","55296","1769472"
"0x782ae63023e0","      LDS R171, [R215+UR12+0x1800]","55296","1769472"
"0x782ae63023f0","      IADD3 R212, R202, -0x1, RZ","55296","1769472"
"0x782ae6302400","@!UP1 UIADD3 UR7, UR10, -0x8000, URZ","55296","356352"
"0x782ae6302410","      HMMA.1688.F32.TF32 R20, R132, R142, R20","55296","1769472"
"0x782ae6302420","      LDS R172, [R216+UR12+0x1000]","55296","1769472"
"0x782ae6302430","@!UP1 UIADD3 UR6, UR11, -0x200, URZ","55296","356352"
"0x782ae6302440","@!UP1 UMOV UR9, URZ","55296","356352"
"0x782ae6302450","      LDS R173, [R216+UR12+0x1800]","55296","1769472"
"0x782ae6302460","@!UP0 UMOV UR8, URZ","55296","344064"
"0x782ae6302470","      HMMA.1688.F32.TF32 R24, R132, R144, R24","55296","1769472"
"0x782ae6302480","      LDS R174, [R213+UR12+0x1080]","55296","1769472"
"0x782ae6302490","      LDS R175, [R213+UR12+0x1880]","55296","1769472"
"0x782ae63024a0","      HMMA.1688.F32.TF32 R28, R132, R146, R28","55296","1769472"
"0x782ae63024b0","      LDS R176, [R214+UR12+0x1080]","55296","1769472"
"0x782ae63024c0","      LDS R177, [R214+UR12+0x1880]","55296","1769472"
"0x782ae63024d0","      HMMA.1688.F32.TF32 R32, R132, R148, R32","55296","1769472"
"0x782ae63024e0","      LDS R178, [R215+UR12+0x1080]","55296","1769472"
"0x782ae63024f0","      LDS R179, [R215+UR12+0x1880]","55296","1769472"
"0x782ae6302500","      HMMA.1688.F32.TF32 R36, R152, R148, R36","55296","1769472"
"0x782ae6302510","      LDS R180, [R216+UR12+0x1080]","55296","1769472"
"0x782ae6302520","      LDS R181, [R216+UR12+0x1880]","55296","1769472"
"0x782ae6302530","      UMOV UR12, UR4","55296","1769472"
"0x782ae6302540","      HMMA.1688.F32.TF32 R40, R152, R146, R40","55296","1769472"
"0x782ae6302550","      LDSM.16.M88.4 R184, [R210+UR13+0x1400]","55296","1769472"
"0x782ae6302560","      HMMA.1688.F32.TF32 R44, R152, R144, R44","55296","1769472"
"0x782ae6302570","      LDSM.16.M88.4 R188, [R210+UR13+0x2800]","55296","1769472"
"0x782ae6302580","      HMMA.1688.F32.TF32 R48, R152, R142, R48","55296","1769472"
"0x782ae6302590","      LDSM.16.M88.4 R192, [R210+UR13+0x3c00]","55296","1769472"
"0x782ae63025a0","      UMOV UR13, UR5","55296","1769472"
"0x782ae63025b0","      HMMA.1688.F32.TF32 R52, R152, R140, R52","55296","1769472"
"0x782ae63025c0","@P1   LDGSTS.E.BYPASS.LTC128B.128 [R217], [R206.64+UR20]","55296","1720320"
"0x782ae63025d0","      HMMA.1688.F32.TF32 R56, R152, R138, R56","55296","1769472"
"0x782ae63025e0","@P0   LDGSTS.E.BYPASS.LTC128B.128 [R201+UR11], [R206.64]","55296","1720320"
"0x782ae63025f0","      R2P PR, R198, 0x3","55296","1769472"
"0x782ae6302600","      HMMA.1688.F32.TF32 R60, R152, R136, R60","55296","1769472"
"0x782ae6302610","@P2   LDGSTS.E.BYPASS.LTC128B.128 [R221+0x1400], [R206.64+UR18]","55296","1720320"
"0x782ae6302620","      HMMA.1688.F32.TF32 R64, R152, R2, R64","55296","1769472"
"0x782ae6302630","@P3   LDGSTS.E.BYPASS.LTC128B.128 [R200+UR11+0x1400], [R218.64]","55296","1720320"
"0x782ae6302640","      UMOV UR11, UR6","55296","1769472"
"0x782ae6302650","      R2P PR, R198, 0xc","55296","1769472"
"0x782ae6302660","      FSETP.GEU.AND P6, PT, |R150|, +INF , PT","55296","1769472"
"0x782ae6302670","      FSETP.GEU.AND P5, PT, |R151|, +INF , PT","55296","1769472"
"0x782ae6302680","      HMMA.1688.F32.TF32 R68, R156, R2, R68","55296","1769472"
"0x782ae6302690","@P0   LDGSTS.E.BYPASS.LTC128B.128 [R199+UR10+0xa000], [R208.64]","55296","1720320"
"0x782ae63026a0","      FSETP.GEU.AND P4, PT, |R164|, +INF , PT","55296","1769472"
"0x782ae63026b0","      HMMA.1688.F32.TF32 R72, R156, R136, R72","55296","1769472"
"0x782ae63026c0","@P1   LDGSTS.E.BYPASS.LTC128B.128 [R199+UR10+0xa080], [R208.64+0x80]","55296","1720320"
"0x782ae63026d0","      ISETP.NE.AND P1, PT, R212, RZ, PT","55296","1769472"
"0x782ae63026e0","@!P6  IMAD.IADD.U32 R150, R150, 0x1, R203","55296","1769472"
"0x782ae63026f0","      FSETP.GEU.AND P6, PT, |R168|, +INF , PT","55296","1769472"
"0x782ae6302700","@!P5  IMAD.IADD.U32 R151, R151, 0x1, R203","55296","1769472"
"0x782ae6302710","      FSETP.GEU.AND P5, PT, |R169|, +INF , PT","55296","1769472"
"0x782ae6302720","      HMMA.1688.F32.TF32 R76, R156, R138, R76","55296","1769472"
"0x782ae6302730","@P2   LDGSTS.E.BYPASS.LTC128B.128 [R199+UR10+0xa100], [R208.64+0x100]","55296","1720320"
"0x782ae6302740","      ISETP.NE.AND P2, PT, R212, RZ, PT","55296","1769472"
"0x782ae6302750","@!P4  IMAD.IADD.U32 R164, R164, 0x1, R203","55296","1769472"
"0x782ae6302760","      FSETP.GEU.AND P4, PT, |R170|, +INF , PT","55296","1769472"
