"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Memory Workload Analysis","L1/TEX Hit Rate","%","2.56",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Memory Workload Analysis","L2 Persisting Size","Mbyte","18.87",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Memory Workload Analysis","L2 Compression Ratio","","0",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Memory Workload Analysis","L2 Compression Input Sectors","sector","0",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Memory Workload Analysis","L2 Hit Rate","%","99.64",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Memory Workload Analysis","Mem Pipes Busy","%","25.33",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Scheduler Statistics","One or More Eligible","%","36.07",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Scheduler Statistics","Issued Warp Per Scheduler","","0.36",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Scheduler Statistics","No Eligible","%","63.93",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Scheduler Statistics","Active Warps Per Scheduler","warp","1.97",
