toolkit	row	cell	bias	forced_tile	forced_over_auto_p50	forced_over_auto_p95	internal_win	forced_over_vendor_p50	forced_over_vendor_p95	vendor_win
13.0	bf16	hot_c	false	Tc128Sm89Pipeline	0.754080906	0.758935597	true	0.720276988	0.740181710	true
13.0	bf16	hot_c	false	Tc128Sm89Swizzle	0.747864442	0.755311952	true	0.714463887	0.729990467	true
13.0	bf16	hot_c	true	Tc128Sm89Pipeline	0.758659637	0.761297358	true	0.638557179	0.665423416	true
13.0	bf16	hot_c	true	Tc128Sm89Swizzle	0.748854903	0.751042573	true	0.625261863	0.652718534	true
13.0	bf16	hot_d	false	Tc128Sm89Pipeline	0.818289917	0.820041682	true	1.209085104	1.214038713	false
13.0	bf16	hot_d	false	Tc128Sm89Swizzle	0.708854386	0.713259765	true	1.043616053	1.062641680	false
13.0	bf16	hot_d	true	Tc128Sm89Pipeline	0.823896661	0.825053320	true	0.922666725	0.926660431	true
13.0	bf16	hot_d	true	Tc128Sm89Swizzle	0.712381890	0.713081637	true	0.792223968	0.795145772	true
13.0	bf16	hot_e	false	Tc128Sm89Pipeline	0.772077097	0.772397393	true	0.884015221	0.885321882	true
13.0	bf16	hot_e	false	Tc128Sm89Swizzle	0.724318782	0.724719789	true	0.829341155	0.830717126	true
13.0	bf16	hot_e	true	Tc128Sm89Pipeline	0.772580596	0.773170453	true	0.796539820	0.798490117	true
13.0	bf16	hot_e	true	Tc128Sm89Swizzle	0.725334660	0.725798714	true	0.748039280	0.749656652	true
13.0	f16	hot_a	false	Tc128Sm89Pipeline	0.748790412	0.766554044	true	0.913853671	0.941169937	true
13.0	f16	hot_a	false	Tc128Sm89Swizzle	0.752058824	0.770580236	true	0.918354590	0.941474083	true
13.0	f16	hot_a	true	Tc128Sm89Pipeline	0.766027734	0.775868294	true	0.612444858	0.635060899	true
13.0	f16	hot_a	true	Tc128Sm89Swizzle	0.764642736	0.771281189	true	0.611272420	0.631909119	true
13.0	f16	hot_b	false	Tc128Sm89Pipeline	0.829042987	0.878897585	true	1.385952865	1.422346148	false
13.0	f16	hot_b	false	Tc128Sm89Swizzle	0.712425236	0.727522895	true	1.188058630	1.196960780	false
13.0	f16	hot_b	true	Tc128Sm89Pipeline	0.832045941	0.849247573	true	1.064516129	1.078088375	false
13.0	f16	hot_b	true	Tc128Sm89Swizzle	0.711225062	0.716241110	true	0.911703400	0.922635586	true
13.0	f16	hot_c	false	Tc128Sm89Pipeline	0.737922685	0.745883341	true	0.745636755	0.754074399	true
13.0	f16	hot_c	false	Tc128Sm89Swizzle	0.725090981	0.734668912	true	0.735161014	0.746586656	true
13.0	f16	hot_c	true	Tc128Sm89Pipeline	0.742345077	0.750222210	true	0.672418989	0.680879755	true
13.0	f16	hot_c	true	Tc128Sm89Swizzle	0.725718248	0.734961597	true	0.660684072	0.669992687	true
13.0	f16	hot_d	false	Tc128Sm89Pipeline	0.795241345	0.816812912	true	1.238769135	1.260287643	false
13.0	f16	hot_d	false	Tc128Sm89Swizzle	0.711291203	0.738013809	true	1.119614209	1.133941937	false
13.0	f16	hot_d	true	Tc128Sm89Pipeline	0.823581735	0.825787756	true	0.925844209	0.930417337	true
13.0	f16	hot_d	true	Tc128Sm89Swizzle	0.712500000	0.715271930	true	0.797112838	0.806645154	true
13.0	f16	hot_e	false	Tc128Sm89Pipeline	0.745873364	0.762518456	true	1.141391161	1.172386230	false
13.0	f16	hot_e	false	Tc128Sm89Swizzle	0.725817553	0.746775628	true	1.074350306	1.143195392	false
13.0	f16	hot_e	true	Tc128Sm89Pipeline	0.757240585	0.765232986	true	0.963306860	1.025653198	false
13.0	f16	hot_e	true	Tc128Sm89Swizzle	0.726991871	0.739707288	true	0.855797957	0.961522966	true
13.2	bf16	hot_a	false	Tc128Sm89Swizzle	1.019883521	1.021490813	false	0.873880874	0.882379655	true
13.2	bf16	hot_a	true	Tc128Sm89Swizzle	1.015628224	1.016534755	false	0.612246518	0.613009507	true
13.2	bf16	hot_b	false	Tc128Sm89Swizzle	0.904609608	0.941229388	true	1.314697905	1.346545614	false
13.2	bf16	hot_b	true	Tc128Sm89Swizzle	0.900886255	0.908969677	true	1.003401536	1.010650154	false
13.2	bf16	hot_c	false	Tc128Sm89Swizzle	1.018383446	1.021190438	false	0.750554429	0.774470189	true
13.2	bf16	hot_c	true	Tc128Sm89Swizzle	1.021823454	1.022686824	false	0.671263968	0.695554772	true
13.2	bf16	hot_d	false	Tc128Sm89Swizzle	0.907522035	0.910561644	true	1.100309966	1.108618397	false
13.2	bf16	hot_d	true	Tc128Sm89Swizzle	0.907642599	0.908418112	true	0.839454738	0.842749588	true
13.2	bf16	hot_e	false	Tc128Sm89Swizzle	0.987391117	0.988177819	true	0.881858580	0.882979166	true
13.2	bf16	hot_e	true	Tc128Sm89Swizzle	0.983786863	0.984320918	true	0.794665874	0.796060844	true
13.2	f16	hot_a	false	Tc128Sm89Swizzle	1.022870755	1.044725042	false	0.954168190	0.978838893	true
13.2	f16	hot_a	true	Tc128Sm89Swizzle	1.017702813	1.023237377	false	0.641418131	0.660218247	true
13.2	f16	hot_b	false	Tc128Sm89Swizzle	0.910471914	0.922969809	true	1.255146405	1.264303189	false
13.2	f16	hot_b	true	Tc128Sm89Swizzle	0.907511906	0.921057508	true	0.967448641	0.975933519	true
13.2	f16	hot_c	false	Tc128Sm89Swizzle	1.017787409	1.029245784	false	0.779488527	0.787753511	true
13.2	f16	hot_c	true	Tc128Sm89Swizzle	1.014962151	1.022397242	false	0.707201540	0.713980905	true
13.2	f16	hot_d	false	Tc128Sm89Swizzle	0.956535353	0.990787782	true	1.192241825	1.221151181	false
13.2	f16	hot_d	true	Tc128Sm89Swizzle	0.908063620	0.917692207	true	0.847323297	0.861344362	true
13.2	f16	hot_e	false	Tc128Sm89Swizzle	1.026568776	1.055947007	false	1.207797948	1.222659692	false
13.2	f16	hot_e	true	Tc128Sm89Swizzle	1.021795083	1.033977933	false	1.052978645	1.085622216	false
