"Kernel Name","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16",
"Address","Source","Instructions Executed"
"0x73ac1633a410","      SHF.R.S32.HI R10, RZ, 0x3, R6","0"
"0x73ac1633a420","      IADD3 R5, R5, 0x80, RZ","0"
"0x73ac1633a430","      IMAD R6, R9, 0x8, R4","0"
"0x73ac1633a440","      SHF.R.S32.HI R11, RZ, 0x1f, R10","0"
"0x73ac1633a450","      LOP3.LUT R9, R9, 0x7, R10, 0x78, !PT","0"
"0x73ac1633a460","      ISETP.GE.AND P0, PT, R6, c[0x0][0x180], PT","0"
"0x73ac1633a470","      IMAD R12, R11, c[0x0][0x180], RZ","0"
"0x73ac1633a480","      IADD3 R7, -R6, c[0x0][0x180], RZ","0"
"0x73ac1633a490","      IMAD R9, R10, 0x8, R9","0"
"0x73ac1633a4a0","      ISETP.GE.OR P0, PT, R10, c[0x0][0x17c], P0","0"
"0x73ac1633a4b0","      IMAD R13, R10, R3, R12","0"
"0x73ac1633a4c0","      IMNMX R11, R7, 0x8, PT","0"
"0x73ac1633a4d0","      IMAD.SHL.U32 R9, R9, 0x8, RZ","0"
"0x73ac1633a4e0","      SHF.R.S32.HI R7, RZ, 0x1f, R6","0"
"0x73ac1633a4f0","      SEL R11, R11, RZ, !P0","0"
"0x73ac1633a500","      IMAD.SHL.U32 R9, R9, 0x2, RZ","0"
"0x73ac1633a510","      IMAD.WIDE.U32 R6, R10, c[0x0][0x180], R6","0"
"0x73ac1633a520","      ISETP.NE.AND P0, PT, R11, RZ, PT","0"
"0x73ac1633a530","      IMAD.SHL.U32 R11, R11, 0x2, RZ","0"
"0x73ac1633a540","      SEL R12, R6, RZ, P0","0"
"0x73ac1633a550","      IMAD.IADD R13, R7, 0x1, R13","0"
"0x73ac1633a560","      IADD3 R6, -R11, 0x10, RZ","0"
"0x73ac1633a570","      LEA R7, P4, R12, c[0x0][0x168], 0x1","0"
"0x73ac1633a580","      SEL R13, R13, RZ, P0","0"
"0x73ac1633a590","      LOP3.LUT R6, R6, 0xf, RZ, 0xc0, !PT","0"
"0x73ac1633a5a0","      SEL R7, R7, c[0x0][0x168], P0","0"
"0x73ac1633a5b0","      LEA.HI.X R10, R12, c[0x0][0x16c], R13, 0x1, P4","0"
"0x73ac1633a5c0","      ISETP.NE.U32.AND P4, PT, R11, RZ, PT","0"
"0x73ac1633a5d0","      IADD3 R6, P5, R6, R7, RZ","0"
"0x73ac1633a5e0","      SEL R7, R10, c[0x0][0x16c], P0","0"
"0x73ac1633a5f0","      ISETP.NE.AND P0, PT, R8, RZ, PT","0"
"0x73ac1633a600","      IMAD.X R7, RZ, RZ, R7, P5","0"
"0x73ac1633a610","@!PT  LDS RZ, [RZ]","0"
"0x73ac1633a620","@!PT  LDS RZ, [RZ]","0"
"0x73ac1633a630","@!PT  LDS RZ, [RZ]","0"
"0x73ac1633a640","      LDGSTS.E.128.ZFILL P4, [R9][R6.64]","0"
"0x73ac1633a650","@P0   BRA 0x73ac1633a3c0","0"
"0x73ac1633a660","      BSYNC B1","2304"
"0x73ac1633a670","      BSSY B1, 0x73ac1633b000","2304"
"0x73ac1633a680","      LOP3.LUT P4, R6, R14, 0x3, RZ, 0xc0, !PT","2304"
"0x73ac1633a690","@!P1  BRA 0x73ac1633aff0","2304"
"0x73ac1633a6a0","      IADD3 R11, R5, 0x80, RZ","2304"
"0x73ac1633a6b0","      IADD3 R9, R5, 0x100, RZ","2304"
"0x73ac1633a6c0","      SHF.R.S32.HI R7, RZ, 0x1f, R11","2304"
"0x73ac1633a6d0","      SHF.R.S32.HI R14, RZ, 0x1f, R5","2304"
"0x73ac1633a6e0","      LEA.HI R7, R7, R11, RZ, 0x3","2304"
"0x73ac1633a6f0","      SHF.R.S32.HI R10, RZ, 0x1f, R9","2304"
"0x73ac1633a700","      LEA.HI R14, R14, R5, RZ, 0x3","2304"
"0x73ac1633a710","      LOP3.LUT R8, R7, 0xfffffff8, RZ, 0xc0, !PT","2304"
"0x73ac1633a720","      LEA.HI R10, R10, R9, RZ, 0x3","2304"
"0x73ac1633a730","      LOP3.LUT R18, R14, 0xfffffff8, RZ, 0xc0, !PT","2304"
"0x73ac1633a740","      IMAD.IADD R11, R11, 0x1, -R8","2304"
"0x73ac1633a750","      IADD3 R12, R5, 0x180, RZ","2304"
"0x73ac1633a760","      LOP3.LUT R8, R10, 0xfffffff8, RZ, 0xc0, !PT","2304"
"0x73ac1633a770","      IMAD.IADD R19, R5, 0x1, -R18","2304"
"0x73ac1633a780","      SHF.R.S32.HI R13, RZ, 0x1f, R12","2304"
"0x73ac1633a790","      SHF.R.S32.HI R14, RZ, 0x3, R14","2304"
"0x73ac1633a7a0","      IMAD.IADD R15, R9, 0x1, -R8","2304"
"0x73ac1633a7b0","      LEA.HI R16, R13, R12, RZ, 0x3","2304"
"0x73ac1633a7c0","      IMAD R8, R19, 0x8, R4","2304"
"0x73ac1633a7d0","      SHF.R.S32.HI R18, RZ, 0x1f, R14","2304"
"0x73ac1633a7e0","      LOP3.LUT R13, R16, 0xfffffff8, RZ, 0xc0, !PT","2304"
"0x73ac1633a7f0","      SHF.R.S32.HI R9, RZ, 0x1f, R8","2304"
"0x73ac1633a800","      IMAD R18, R18, c[0x0][0x180], RZ","2304"
"0x73ac1633a810","      LOP3.LUT R19, R19, 0x7, R14, 0x78, !PT","2304"
"0x73ac1633a820","      IMAD.IADD R17, R12, 0x1, -R13","2304"
"0x73ac1633a830","      SHF.R.S32.HI R7, RZ, 0x3, R7","2304"
"0x73ac1633a840","      IMAD.WIDE.U32 R12, R14, c[0x0][0x180], R8","2304"
"0x73ac1633a850","      ISETP.GE.AND P0, PT, R8, c[0x0][0x180], PT","2304"
"0x73ac1633a860","      SHF.R.S32.HI R9, RZ, 0x1f, R7","2304"
"0x73ac1633a870","      IMAD R24, R14, 0x8, R19","2304"
"0x73ac1633a880","      IADD3 R19, -R8, c[0x0][0x180], RZ","2304"
"0x73ac1633a890","      IMAD R23, R14, R3, R18","2304"
"0x73ac1633a8a0","      ISETP.GE.OR P0, PT, R14, c[0x0][0x17c], P0","2304"
"0x73ac1633a8b0","      IMAD R18, R9, c[0x0][0x180], RZ","2304"
"0x73ac1633a8c0","      SHF.R.S32.HI R14, RZ, 0x3, R10","2304"
"0x73ac1633a8d0","      IMAD R10, R11, 0x8, R4","2304"
"0x73ac1633a8e0","      IMNMX R9, R19, 0x8, PT","2304"
"0x73ac1633a8f0","      IMAD R21, R7, R3, R18","2304"
"0x73ac1633a900","      LOP3.LUT R8, R11, 0x7, R7, 0x78, !PT","2304"
"0x73ac1633a910","      IMAD.IADD R18, R13, 0x1, R23","2304"
"0x73ac1633a920","      SEL R22, R9, RZ, !P0","2304"
"0x73ac1633a930","      IMAD.SHL.U32 R24, R24, 0x8, RZ","2304"
"0x73ac1633a940","      SHF.R.S32.HI R11, RZ, 0x1f, R10","2304"
"0x73ac1633a950","      IMAD R19, R7, 0x8, R8","2304"
"0x73ac1633a960","      ISETP.GE.AND P1, PT, R10, c[0x0][0x180], PT","2304"
"0x73ac1633a970","      IMAD.SHL.U32 R27, R24, 0x2, RZ","2304"
"0x73ac1633a980","      ISETP.NE.AND P5, PT, R22, RZ, PT","2304"
"0x73ac1633a990","      IMAD.WIDE.U32 R8, R7, c[0x0][0x180], R10","2304"
"0x73ac1633a9a0","      ISETP.GE.OR P1, PT, R7, c[0x0][0x17c], P1","2304"
"0x73ac1633a9b0","      SHF.R.S32.HI R7, RZ, 0x1f, R14","2304"
"0x73ac1633a9c0","      IMAD.SHL.U32 R22, R22, 0x2, RZ","2304"
"0x73ac1633a9d0","      SEL R25, R12, RZ, P5","2304"
"0x73ac1633a9e0","      IMAD R12, R15, 0x8, R4","2304"
"0x73ac1633a9f0","      LOP3.LUT R15, R15, 0x7, R14, 0x78, !PT","2304"
"0x73ac1633aa00","      IMAD R11, R7, c[0x0][0x180], RZ","2304"
"0x73ac1633aa10","      IADD3 R7, -R10, c[0x0][0x180], RZ","2304"
"0x73ac1633aa20","      SEL R18, R18, RZ, P5","2304"
"0x73ac1633aa30","      IMAD R20, R14, 0x8, R15","2304"
"0x73ac1633aa40","      LEA R15, P6, R25, c[0x0][0x168], 0x1","2304"
"0x73ac1633aa50","      IMAD R23, R14, R3, R11","2304"
"0x73ac1633aa60","      IMNMX R7, R7, 0x8, PT","2304"
"0x73ac1633aa70","      SHF.R.S32.HI R13, RZ, 0x1f, R12","2304"
"0x73ac1633aa80","      IADD3 R26, -R22, 0x10, RZ","2304"
"0x73ac1633aa90","      LEA.HI.X R18, R25, c[0x0][0x16c], R18, 0x1, P6","2304"
"0x73ac1633aaa0","      IMAD.WIDE.U32 R10, R14, c[0x0][0x180], R12","2304"
"0x73ac1633aab0","      SEL R7, R7, RZ, !P1","2304"
"0x73ac1633aac0","      ISETP.GE.AND P0, PT, R12, c[0x0][0x180], PT","2304"
"0x73ac1633aad0","      LOP3.LUT R26, R26, 0xf, RZ, 0xc0, !PT","2304"
"0x73ac1633aae0","      SEL R15, R15, c[0x0][0x168], P5","2304"
"0x73ac1633aaf0","      SEL R18, R18, c[0x0][0x16c], P5","2304"
"0x73ac1633ab00","      SHF.R.S32.HI R13, RZ, 0x3, R16","2304"
"0x73ac1633ab10","      ISETP.NE.AND P5, PT, R7, RZ, PT","2304"
"0x73ac1633ab20","      IMAD.SHL.U32 R7, R7, 0x2, RZ","2304"
"0x73ac1633ab30","      ISETP.NE.U32.AND P6, PT, R22, RZ, PT","2304"
"0x73ac1633ab40","      IMAD.IADD R22, R9, 0x1, R21","2304"
"0x73ac1633ab50","      ISETP.GE.OR P0, PT, R14, c[0x0][0x17c], P0","2304"
"0x73ac1633ab60","      IADD3 R14, P1, R26, R15, RZ","2304"
"0x73ac1633ab70","      SEL R21, R8, RZ, P5","2304"
"0x73ac1633ab80","      IMAD R8, R17, 0x8, R4","2304"
"0x73ac1633ab90","      SHF.R.S32.HI R9, RZ, 0x1f, R13","2304"
"0x73ac1633aba0","      IMAD.X R15, RZ, RZ, R18, P1","2304"
"0x73ac1633abb0","      LOP3.LUT R18, R17, 0x7, R13, 0x78, !PT","2304"
"0x73ac1633abc0","      IADD3 R16, -R12, c[0x0][0x180], RZ","2304"
"0x73ac1633abd0","      IMAD R24, R9, c[0x0][0x180], RZ","2304"
"0x73ac1633abe0","      ISETP.GE.AND P1, PT, R8, c[0x0][0x180], PT","2304"
"0x73ac1633abf0","@!PT  LDS RZ, [RZ]","2304"
"0x73ac1633ac00","@!PT  LDS RZ, [RZ]","2304"
"0x73ac1633ac10","@!PT  LDS RZ, [RZ]","2304"
"0x73ac1633ac20","      LDGSTS.E.128.ZFILL P6, [R27][R14.64]","2304"
"0x73ac1633ac30","      SHF.R.S32.HI R9, RZ, 0x1f, R8","2304"
"0x73ac1633ac40","      IMAD R18, R13, 0x8, R18","2304"
"0x73ac1633ac50","      ISETP.GE.OR P1, PT, R13, c[0x0][0x17c], P1","2304"
"0x73ac1633ac60","      IMAD R25, R13, R3, R24","2304"
"0x73ac1633ac70","      IMNMX R16, R16, 0x8, PT","2304"
"0x73ac1633ac80","      IMAD.WIDE.U32 R12, R13, c[0x0][0x180], R8","2304"
"0x73ac1633ac90","      SEL R22, R22, RZ, P5","2304"
"0x73ac1633aca0","      IADD3 R9, -R7, 0x10, RZ","2304"
"0x73ac1633acb0","      SEL R16, R16, RZ, !P0","2304"
"0x73ac1633acc0","      LEA R14, P6, R21, c[0x0][0x168], 0x1","2304"
"0x73ac1633acd0","      LOP3.LUT R9, R9, 0xf, RZ, 0xc0, !PT","2304"
"0x73ac1633ace0","      LEA.HI.X R17, R21, c[0x0][0x16c], R22, 0x1, P6","2304"
"0x73ac1633acf0","      ISETP.NE.U32.AND P6, PT, R7, RZ, PT","2304"
"0x73ac1633ad00","      SEL R14, R14, c[0x0][0x168], P5","2304"
"0x73ac1633ad10","      IADD3 R7, -R8, c[0x0][0x180], RZ","2304"
"0x73ac1633ad20","      ISETP.NE.AND P0, PT, R16, RZ, PT","2304"
"0x73ac1633ad30","      IMAD.SHL.U32 R16, R16, 0x2, RZ","2304"
"0x73ac1633ad40","      SEL R17, R17, c[0x0][0x16c], P5","2304"
"0x73ac1633ad50","      IADD3 R8, P5, R9, R14, RZ","2304"
"0x73ac1633ad60","      IMAD.IADD R14, R11, 0x1, R23","2304"
"0x73ac1633ad70","      IMNMX R7, R7, 0x8, PT","2304"
"0x73ac1633ad80","      SEL R15, R10, RZ, P0","2304"
"0x73ac1633ad90","      IMAD.X R9, RZ, RZ, R17, P5","2304"
"0x73ac1633ada0","      SEL R11, R7, RZ, !P1","2304"
"0x73ac1633adb0","      IADD3 R7, -R16, 0x10, RZ","2304"
"0x73ac1633adc0","      LEA R10, P5, R15, c[0x0][0x168], 0x1","2304"
"0x73ac1633add0","      SEL R14, R14, RZ, P0","2304"
"0x73ac1633ade0","      ISETP.NE.AND P1, PT, R11, RZ, PT","2304"
"0x73ac1633adf0","      LOP3.LUT R7, R7, 0xf, RZ, 0xc0, !PT","2304"
"0x73ac1633ae00","      SEL R10, R10, c[0x0][0x168], P0","2304"
"0x73ac1633ae10","      LEA.HI.X R15, R15, c[0x0][0x16c], R14, 0x1, P5","2304"
"0x73ac1633ae20","      IMAD.IADD R14, R13, 0x1, R25","2304"
"0x73ac1633ae30","      SEL R13, R12, RZ, P1","2304"
"0x73ac1633ae40","      IADD3 R10, P5, R7, R10, RZ","2304"
"0x73ac1633ae50","      IMAD.SHL.U32 R7, R11, 0x2, RZ","2304"
"0x73ac1633ae60","      SEL R12, R15, c[0x0][0x16c], P0","2304"
"0x73ac1633ae70","      SEL R14, R14, RZ, P1","2304"
"0x73ac1633ae80","      LEA R15, P0, R13, c[0x0][0x168], 0x1","2304"
"0x73ac1633ae90","      IMAD.X R11, RZ, RZ, R12, P5","2304"
"0x73ac1633aea0","      IADD3 R12, -R7, 0x10, RZ","2304"
"0x73ac1633aeb0","      ISETP.NE.U32.AND P5, PT, R16, RZ, PT","2304"
"0x73ac1633aec0","      LEA.HI.X R16, R13, c[0x0][0x16c], R14, 0x1, P0","2304"
"0x73ac1633aed0","      IMAD.SHL.U32 R13, R20, 0x8, RZ","2304"
"0x73ac1633aee0","      LOP3.LUT R12, R12, 0xf, RZ, 0xc0, !PT","2304"
"0x73ac1633aef0","      IMAD.SHL.U32 R14, R18, 0x8, RZ","2304"
"0x73ac1633af00","      SEL R15, R15, c[0x0][0x168], P1","2304"
"0x73ac1633af10","      ISETP.NE.U32.AND P0, PT, R7, RZ, PT","2304"
"0x73ac1633af20","      IMAD.SHL.U32 R7, R19, 0x8, RZ","2304"
"0x73ac1633af30","      SEL R16, R16, c[0x0][0x16c], P1","2304"
"0x73ac1633af40","      IMAD.SHL.U32 R17, R14, 0x2, RZ","2304"
"0x73ac1633af50","      IADD3 R12, P1, R12, R15, RZ","2304"
"0x73ac1633af60","      IMAD.SHL.U32 R7, R7, 0x2, RZ","2304"
"0x73ac1633af70","      IMAD.SHL.U32 R15, R13, 0x2, RZ","2304"
"0x73ac1633af80","      IMAD.X R13, RZ, RZ, R16, P1","2304"
"0x73ac1633af90","      LDGSTS.E.128.ZFILL P6, [R7][R8.64]","2304"
"0x73ac1633afa0","      LDGSTS.E.128.ZFILL P5, [R15][R10.64]","2304"
"0x73ac1633afb0","      LDGSTS.E.128.ZFILL P0, [R17][R12.64]","2304"
"0x73ac1633afc0","      ISETP.GE.AND P0, PT, R5, RZ, PT","2304"
"0x73ac1633afd0","      IADD3 R5, R5, 0x200, RZ","2304"
"0x73ac1633afe0","@!P0  BRA 0x73ac1633a6a0","2304"
"0x73ac1633aff0","      BSYNC B1","2304"
"0x73ac1633b000","      BSSY B1, 0x73ac1633b320","2304"
"0x73ac1633b010","      SHF.R.S32.HI R2, RZ, 0x1f, R2","2304"
"0x73ac1633b020","      IMAD.SHL.U32 R3, R117, 0x40, RZ","2304"
"0x73ac1633b030","      IMAD.MOV.U32 R4, RZ, RZ, R0","2304"
"0x73ac1633b040","@!P4  BRA 0x73ac1633b310","2304"
"0x73ac1633b050","      IMAD.MOV.U32 R5, RZ, RZ, R6","0"
"0x73ac1633b060","      IMAD.MOV.U32 R4, RZ, RZ, R0","0"
"0x73ac1633b070","      SHF.R.S32.HI R7, RZ, 0x1f, R4","0"
"0x73ac1633b080","      IADD3 R5, R5, -0x1, RZ","0"
"0x73ac1633b090","      LEA.HI R7, R7, R4, RZ, 0x3","0"
"0x73ac1633b0a0","      LOP3.LUT R9, R7, 0xfffffff8, RZ, 0xc0, !PT","0"
"0x73ac1633b0b0","      IMAD.IADD R8, R4, 0x1, -R9","0"
"0x73ac1633b0c0","      SHF.R.S32.HI R9, RZ, 0x3, R7","0"
"0x73ac1633b0d0","      IADD3 R4, R4, 0x80, RZ","0"
"0x73ac1633b0e0","      IMAD R6, R8, 0x8, R3","0"
"0x73ac1633b0f0","      SHF.R.S32.HI R10, RZ, 0x1f, R9","0"
"0x73ac1633b100","      LOP3.LUT R8, R8, 0x7, R9, 0x78, !PT","0"
"0x73ac1633b110","      ISETP.GE.AND P0, PT, R6, c[0x0][0x184], PT","0"
"0x73ac1633b120","      IMAD R11, R10, c[0x0][0x184], RZ","0"
"0x73ac1633b130","      IADD3 R7, -R6, c[0x0][0x184], RZ","0"
"0x73ac1633b140","      IMAD R8, R9, 0x8, R8","0"
"0x73ac1633b150","      ISETP.GE.OR P0, PT, R9, c[0x0][0x17c], P0","0"
"0x73ac1633b160","      IMAD R13, R9, R2, R11","0"
"0x73ac1633b170","      IMNMX R10, R7, 0x8, PT","0"
"0x73ac1633b180","      IMAD.SHL.U32 R8, R8, 0x8, RZ","0"
"0x73ac1633b190","      SHF.R.S32.HI R7, RZ, 0x1f, R6","0"
"0x73ac1633b1a0","      SEL R10, R10, RZ, !P0","0"
"0x73ac1633b1b0","      IMAD.WIDE.U32 R6, R9, c[0x0][0x184], R6","0"
"0x73ac1633b1c0","      ISETP.NE.AND P0, PT, R10, RZ, PT","0"
"0x73ac1633b1d0","      IMAD.SHL.U32 R10, R10, 0x2, RZ","0"
"0x73ac1633b1e0","      SEL R11, R6, RZ, P0","0"
"0x73ac1633b1f0","      IMAD.IADD R12, R7, 0x1, R13","0"
"0x73ac1633b200","      IADD3 R6, -R10, 0x10, RZ","0"
"0x73ac1633b210","      LEA R7, P1, R11, c[0x0][0x170], 0x1","0"
"0x73ac1633b220","      SEL R12, R12, RZ, P0","0"
"0x73ac1633b230","      LOP3.LUT R6, R6, 0xf, RZ, 0xc0, !PT","0"
"0x73ac1633b240","      SEL R7, R7, c[0x0][0x170], P0","0"
"0x73ac1633b250","      LEA.HI.X R9, R11, c[0x0][0x174], R12, 0x1, P1","0"
"0x73ac1633b260","      ISETP.NE.U32.AND P1, PT, R10, RZ, PT","0"
"0x73ac1633b270","      IADD3 R6, P4, R6, R7, RZ","0"
"0x73ac1633b280","      SEL R7, R9, c[0x0][0x174], P0","0"
"0x73ac1633b290","      IMAD.SHL.U32 R9, R8, 0x2, RZ","0"
"0x73ac1633b2a0","      ISETP.NE.AND P0, PT, R5, RZ, PT","0"
"0x73ac1633b2b0","      IMAD.X R7, RZ, RZ, R7, P4","0"
"0x73ac1633b2c0","@!PT  LDS RZ, [RZ]","0"
"0x73ac1633b2d0","@!PT  LDS RZ, [RZ]","0"
"0x73ac1633b2e0","@!PT  LDS RZ, [RZ]","0"
"0x73ac1633b2f0","      LDGSTS.E.128.ZFILL P1, [R9+0x4000][R6.64]","0"
"0x73ac1633b300","@P0   BRA 0x73ac1633b070","0"
"0x73ac1633b310","      BSYNC B1","2304"
"0x73ac1633b320","@!P2  BRA 0x73ac1633bc80","2304"
"0x73ac1633b330","      IADD3 R13, R4, 0x80, RZ","2304"
"0x73ac1633b340","      IADD3 R7, R4, 0x100, RZ","2304"
