
running 1 test
test mamba_ssm::gpu::gemm_bi_inference::observed_inventory_cuda_tests::inference_observed_terminals_match_unrecorded_bits_on_ada ... INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tc16_bf16 input=Bf16 output=Bf16 bias=false shape=InferenceShape { m: 3, k: 37, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tf32_v1_m64n64_bk32_s2 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tf32_v1_m64n64_bk32_s2 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tf32_v1_m64n64_bk32_s3 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 0, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tf32_v1_m64n64_bk32_s3 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 0, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tf32_v1_m64n64_bk32_s3 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tf32_v1_m64n64_bk32_s3 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tf32_v1_m16n32_bk32_s4 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 0, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tf32_v1_m16n32_bk32_s4 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 0, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tf32_v1_m16n32_bk32_s4 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tf32_v1_m16n32_bk32_s4 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_rna_wide_tf32_v1_m128n128_bk32_s3 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 0, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_rna_wide_tf32_v1_m128n128_bk32_s3 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 0, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_rna_wide_tf32_v1_m128n128_bk32_s3 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_rna_wide_tf32_v1_m128n128_bk32_s3 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_sm89_rna_tf32_v1_m128n96_bk32_s3 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 0, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_sm89_rna_tf32_v1_m128n96_bk32_s3 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 0, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_sm89_rna_tf32_v1_m128n96_bk32_s3 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_sm89_rna_tf32_v1_m128n96_bk32_s3 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_sm80_mma_tf32_v1_m128n128_bk32_s3 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 0, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_sm80_mma_tf32_v1_m128n128_bk32_s3 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 0, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_sm80_mma_tf32_v1_m128n128_bk32_s3 input=F32 output=F32 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_sm80_mma_tf32_v1_m128n128_bk32_s3 input=F32 output=F32 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_sm89_m64n64_bk64_s3_v1_f16 input=F16 output=F16 bias=false shape=InferenceShape { m: 3, k: 768, n: 2304 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_sm89_m128n64_bk64_s2_v1_f16 input=F16 output=F16 bias=false shape=InferenceShape { m: 3, k: 2304, n: 768 }
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 831 filtered out; finished in 4.77s

